mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
13.190,102.440,1.095,0.086,1.000,1.000,1.000,54.342,140.061,466.576,361.797,12.883,42.517,58.300,44.457,120.000,211.860,457.050,787.740,158.157,859.847,0.803,3.017
12.000,78.435,1.091,0.083,1.000,1.000,1.000,55.685,151.793,442.032,285.199,13.503,45.993,49.497,31.477,120.000,200.000,459.000,786.760,140.470,771.935,0.810,2.953
10.920,78.074,1.125,0.109,1.000,1.000,1.700,75.622,402.548,422.888,278.468,16.997,68.517,53.613,34.097,134.000,211.860,506.750,824.980,173.223,981.202,0.930,3.361
10.920,80.074,1.125,0.109,1.000,1.000,1.700,75.850,402.297,422.888,278.468,17.577,69.670,53.613,34.097,134.000,211.860,506.750,824.980,174.957,980.872,0.947,3.356
10.920,69.594,1.125,0.109,1.000,1.000,1.700,74.908,400.797,422.888,278.468,16.863,68.770,53.613,34.097,134.000,211.860,479.400,824.980,173.343,979.939,0.913,3.275
11.375,62.568,1.125,0.109,1.000,1.000,1.700,75.184,398.118,548.853,305.969,16.860,65.797,74.027,41.543,134.000,829.340,450.450,880.860,198.227,1086.634,0.947,3.407
10.462,54.787,1.120,0.106,1.000,1.000,1.600,75.624,399.095,548.853,305.969,17.260,66.553,74.027,41.543,134.000,829.340,479.400,880.860,199.383,1087.124,0.977,3.456
9.926,57.772,1.231,0.254,1.000,1.000,2.000,89.888,400.766,637.420,354.311,20.923,68.747,111.843,61.953,160.000,2867.620,639.600,1418.620,263.467,1210.676,1.163,3.748
10.385,51.314,1.200,0.240,1.000,1.000,2.000,77.672,400.507,635.421,336.952,17.833,67.470,104.703,56.720,135.300,2867.620,565.800,1418.620,246.727,1197.213,1.107,3.676
9.963,57.369,1.192,0.232,1.000,1.000,2.000,77.646,394.756,635.421,336.952,17.033,61.593,104.703,56.720,135.300,2867.620,561.050,1418.620,240.050,1196.133,1.070,3.679
10.880,67.946,1.167,0.222,1.000,1.000,1.700,77.135,391.555,619.244,300.000,16.367,56.363,96.137,47.687,134.000,2867.620,398.550,1316.020,216.553,1152.677,0.963,3.478
12.409,80.333,1.174,0.231,1.000,1.000,1.800,76.179,386.333,619.244,300.000,15.480,50.477,96.137,47.687,134.000,2867.620,326.300,1316.020,209.780,1150.957,0.883,3.339
13.143,72.694,1.200,0.260,1.000,1.000,2.000,55.843,89.666,804.771,454.900,11.140,24.683,117.477,59.373,134.000,2866.560,299.250,988.700,212.673,1268.594,0.760,2.888
12.500,68.341,1.190,0.249,1.000,1.000,2.000,55.938,88.230,804.771,454.900,11.140,23.833,117.477,59.373,134.000,2866.560,251.450,988.700,211.823,1268.660,0.760,2.895
13.143,106.313,1.200,0.260,1.000,1.000,2.000,56.286,86.525,804.771,454.900,11.587,23.853,117.477,59.373,134.000,2866.560,251.450,988.700,212.290,1268.478,0.767,2.891
13.750,113.787,1.316,0.427,1.000,1.000,2.200,72.611,90.496,818.559,525.225,14.490,27.163,126.953,71.793,134.000,2943.120,321.100,988.700,240.400,1351.060,0.830,2.990
15.333,128.333,1.333,0.444,1.000,1.000,2.300,72.126,83.181,818.559,525.225,13.957,24.903,126.953,71.793,134.000,2943.120,311.500,988.700,237.607,1350.753,0.793,2.932
15.556,138.802,1.176,0.263,1.000,1.000,1.400,53.103,62.085,752.408,494.311,10.207,19.173,89.137,51.383,42.000,250.320,207.350,370.500,169.900,1239.583,0.587,2.506
14.684,136.006,1.167,0.250,1.000,1.000,1.300,55.610,82.106,688.573,477.915,11.720,24.200,71.357,43.933,120.000,239.300,214.300,514.660,151.210,1161.759,0.617,2.412
13.900,125.890,1.158,0.238,1.000,1.000,1.200,56.342,83.912,688.573,477.915,12.203,25.067,71.357,43.933,120.000,239.300,220.700,514.660,152.560,1161.956,0.637,2.435
13.800,139.860,1.200,0.260,1.000,1.000,2.000,71.381,84.669,750.889,518.582,14.647,25.683,95.457,58.583,134.000,841.300,268.050,662.860,194.370,1263.770,0.723,2.655
13.850,161.127,1.211,0.271,1.000,1.000,2.000,71.391,85.090,750.889,518.582,14.780,26.157,95.457,58.583,134.000,841.300,268.050,662.860,194.977,1263.732,0.727,2.653
13.143,167.456,1.143,0.218,1.000,1.000,1.000,71.972,92.121,765.891,482.245,15.760,29.057,88.433,55.350,134.000,773.640,307.200,636.520,188.600,1242.729,0.757,2.691
13.190,133.964,1.150,0.227,1.000,1.000,1.100,71.643,91.113,765.891,482.245,15.180,27.820,88.433,55.350,134.000,773.640,307.200,636.520,186.783,1242.800,0.737,2.685
12.545,140.975,1.143,0.218,1.000,1.000,1.000,71.900,91.361,765.891,482.245,15.313,28.460,88.433,55.350,134.000,773.640,268.050,636.520,187.557,1242.798,0.747,2.697
13.286,148.014,1.050,0.048,1.000,1.000,1.000,54.392,87.227,664.283,383.631,12.013,25.290,58.543,35.483,120.000,174.500,209.550,596.620,131.330,1048.858,0.613,2.320
13.286,145.537,1.050,0.048,1.000,1.000,1.000,54.057,89.198,664.283,383.631,11.700,25.810,58.543,35.483,82.000,174.500,220.100,596.620,131.537,1049.022,0.613,2.332
14.000,158.600,1.053,0.050,1.000,1.000,1.000,54.077,88.806,664.283,383.631,11.833,25.830,58.543,35.483,82.000,174.500,209.650,596.620,131.690,1048.974,0.617,2.330
14.789,189.008,1.056,0.052,1.000,1.000,1.000,53.048,76.391,664.283,383.631,11.033,21.690,58.543,35.483,80.000,174.500,201.200,403.540,126.750,1047.911,0.557,2.227
15.556,182.358,1.111,0.099,1.000,1.000,1.300,53.677,75.947,664.283,383.631,11.880,22.900,58.543,35.483,82.000,174.500,201.200,372.180,128.807,1047.726,0.590,2.244
15.611,134.349,1.118,0.104,1.000,1.000,1.400,57.584,80.609,704.491,433.593,11.847,23.700,64.450,40.500,80.000,174.500,201.200,490.760,140.497,1142.383,0.610,2.558
15.611,127.793,1.118,0.104,1.000,1.000,1.400,57.874,81.046,704.491,433.593,11.713,23.390,64.450,40.500,80.000,174.500,205.200,490.760,140.053,1142.518,0.603,2.568
16.588,167.183,1.125,0.109,1.000,1.000,1.500,57.597,73.896,471.397,313.752,11.713,22.473,45.800,26.953,80.000,174.500,179.150,336.620,106.940,793.735,0.567,2.308
17.625,184.734,1.125,0.109,1.000,1.000,1.500,57.912,73.653,471.397,313.752,12.027,22.583,45.800,26.953,80.000,174.500,169.650,336.620,107.363,793.706,0.573,2.309
18.933,182.996,1.143,0.122,1.000,1.000,1.700,57.153,73.142,471.397,313.752,11.447,21.577,45.800,26.953,80.000,174.500,160.100,337.600,105.777,793.614,0.550,2.285
