mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,60_percentile_activity_duration,90_percentile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
4.185,20.225,1.370,0.492,1.000,2.000,324610.790,1430.607,1142.685,644.377,18807.767,202.953,81.117,57.910,160.150,200.060,480.950,826.020,19149.747,326021.823,6.033,71.277
4.462,21.249,1.333,0.379,1.000,2.000,324610.831,1430.434,1142.685,644.377,18807.053,201.577,81.117,57.910,160.000,184.320,480.950,826.020,19147.657,326021.942,6.000,71.277
4.385,19.044,1.412,0.556,1.000,2.000,448138.997,2021.253,0.000,0.000,36740.590,301.003,0.000,0.000,134.500,174.000,499.600,826.020,37041.593,450143.787,9.157,90.514
4.346,19.149,1.423,0.513,1.000,2.000,448138.887,2020.680,0.000,0.000,36741.933,303.717,0.000,0.000,134.500,174.000,454.200,826.020,37045.650,450143.453,9.220,90.509
4.185,16.410,1.396,0.503,1.000,2.000,448138.830,2020.787,0.000,0.000,36742.637,308.343,0.000,0.000,134.000,174.000,454.050,827.180,37050.980,450143.018,9.243,90.506
4.109,16.970,1.370,0.492,1.000,2.000,448138.932,2021.545,0.000,0.000,36741.390,308.317,0.000,0.000,123.000,174.000,460.650,838.180,37049.707,450143.126,9.203,90.510
4.404,20.510,1.392,0.513,1.000,2.000,310047.908,1443.163,0.000,0.000,17967.533,216.360,0.000,0.000,120.000,134.200,455.150,750.560,18183.893,311474.913,5.023,56.128
4.346,20.496,1.451,0.561,1.000,2.000,310047.866,1444.212,0.000,0.000,17968.257,219.757,0.000,0.000,123.000,134.200,474.900,836.720,18188.013,311474.681,5.057,56.128
5.178,28.102,1.489,0.605,1.000,2.000,310048.039,1444.216,0.000,0.000,17965.267,209.053,0.000,0.000,120.000,134.000,455.900,836.720,18174.320,311475.470,4.920,56.135
5.409,28.060,1.442,0.619,1.000,2.000,310048.124,1444.297,0.000,0.000,17963.800,204.113,0.000,0.000,120.150,134.200,452.150,836.720,18167.913,311475.840,4.847,56.140
5.386,28.237,1.432,0.609,1.000,2.000,310048.069,1444.099,0.000,0.000,17964.743,205.397,0.000,0.000,120.150,134.200,452.150,836.720,18170.140,311475.711,4.880,56.138
4.854,21.333,1.426,0.585,1.000,2.000,310048.021,1444.221,0.000,0.000,17965.580,206.517,0.000,0.000,123.000,144.320,452.150,836.720,18172.097,311475.599,4.933,56.138
5.000,23.125,1.277,0.243,1.000,2.000,40.978,167.441,0.000,0.000,32.663,112.667,0.000,0.000,120.000,134.000,418.650,660.080,145.330,199.665,1.583,2.027
5.196,25.157,1.356,0.718,1.000,2.000,42.437,173.084,0.000,0.000,33.197,114.600,0.000,0.000,120.000,134.520,455.850,660.080,147.797,207.569,1.613,2.102
5.000,24.766,1.383,0.747,1.000,2.000,43.958,167.598,0.000,0.000,33.740,113.137,0.000,0.000,120.150,160.280,472.050,645.300,146.877,204.287,1.640,2.155
4.854,20.958,1.426,0.798,1.000,2.000,43.655,159.771,0.000,0.000,34.843,113.870,0.000,0.000,120.150,160.280,452.050,551.080,148.713,196.136,1.677,2.118
4.385,16.121,1.412,0.791,1.000,2.000,42.704,159.104,0.000,0.000,35.463,116.647,0.000,0.000,120.000,134.520,452.050,551.080,152.110,194.487,1.713,2.059
4.167,12.102,1.415,0.847,1.000,2.000,43.278,156.235,0.000,0.000,36.930,123.083,0.000,0.000,120.000,160.060,484.100,576.440,160.013,192.896,1.783,2.055
3.600,8.273,1.424,0.820,1.000,2.200,45.249,160.701,0.000,0.000,40.320,132.567,0.000,0.000,123.000,163.220,486.100,598.120,172.887,198.671,1.943,2.151
3.893,10.167,1.439,0.843,1.000,2.400,44.365,170.178,0.000,0.000,39.463,132.100,0.000,0.000,120.150,163.000,486.100,604.360,171.563,207.264,1.917,2.172
3.789,10.131,1.500,0.929,1.000,3.000,57.257,315.462,258.670,137.252,41.623,153.883,21.390,9.877,134.000,200.000,498.100,664.060,226.773,621.491,2.030,2.649
3.786,12.061,1.544,0.950,1.000,3.000,57.296,315.943,258.670,137.252,41.500,156.220,21.390,9.877,134.000,200.000,498.100,645.440,228.987,621.544,2.013,2.613
3.500,8.750,1.525,0.927,1.000,3.000,57.510,315.311,258.670,137.252,42.337,156.747,21.390,9.877,134.000,200.000,498.100,645.440,230.350,621.199,2.047,2.617
3.317,8.312,1.422,0.556,1.000,3.000,56.575,373.824,258.670,137.252,42.423,172.807,21.390,9.877,134.000,163.740,550.800,694.160,246.497,651.792,2.067,2.579
3.286,8.649,1.500,0.637,1.000,3.000,56.779,374.025,258.670,137.252,43.623,176.473,21.390,9.877,134.000,174.520,566.500,694.160,251.363,651.674,2.127,2.585
3.459,8.773,1.459,0.609,1.000,3.000,56.935,372.649,258.670,137.252,43.900,176.457,21.390,9.877,134.000,174.520,501.400,694.160,251.623,650.661,2.140,2.573
3.387,8.947,1.475,0.577,1.000,2.000,194.878,774.808,1110.380,721.973,55.460,241.740,97.373,57.697,163.000,210.140,608.850,1228.920,452.270,2516.744,2.487,4.044
3.234,8.804,1.476,0.503,1.000,2.000,194.647,773.839,1110.380,721.973,56.260,245.587,97.373,57.697,135.450,210.140,593.750,1228.920,456.917,2516.012,2.517,4.017
3.215,8.877,1.422,0.463,1.000,2.000,194.429,774.585,1110.380,721.973,55.193,245.773,97.373,57.697,134.000,210.140,608.850,1228.920,456.037,2516.221,2.460,3.982
2.855,7.428,1.515,0.514,1.200,2.300,194.505,773.922,1150.231,739.385,57.783,253.630,115.060,67.117,135.300,614.400,654.450,2365.940,493.590,2556.368,2.643,4.128
2.843,5.647,1.464,0.452,1.000,2.000,191.312,730.601,1122.555,727.312,55.333,237.017,93.670,57.240,130.200,174.340,625.500,834.760,443.260,2494.166,2.533,3.861
2.841,5.960,1.507,0.598,1.000,2.000,191.492,731.991,1122.555,727.312,57.467,243.863,93.670,57.240,134.000,191.180,654.450,922.720,452.240,2494.178,2.657,3.927
2.786,5.397,1.500,0.593,1.000,2.000,191.767,732.144,1122.555,727.312,58.410,246.070,93.670,57.240,160.000,191.180,654.450,922.720,455.390,2494.069,2.703,3.954
2.729,5.312,1.580,0.678,2.000,2.200,191.874,705.152,1122.555,727.312,58.447,230.660,93.670,57.240,160.000,191.180,625.500,801.440,440.017,2487.244,2.703,3.969
2.812,6.095,1.536,0.625,1.000,2.200,191.611,705.050,1122.555,727.312,57.467,229.873,93.670,57.240,160.000,174.340,625.500,801.440,438.250,2487.258,2.663,3.947
2.729,6.483,1.580,0.707,1.800,3.000,191.863,705.655,1122.555,727.312,57.467,228.423,93.670,57.240,160.000,174.340,625.500,801.440,436.800,2487.632,2.663,3.975
2.896,8.691,1.582,0.751,1.000,3.000,47.835,188.881,305.831,162.887,45.820,161.297,17.687,9.420,160.000,174.000,590.050,722.800,234.223,523.017,2.300,2.540
3.030,8.575,1.538,0.741,1.000,3.000,47.165,184.090,305.831,162.887,44.297,152.363,17.687,9.420,160.000,174.000,561.150,722.800,223.767,521.479,2.247,2.535
3.367,10.399,1.607,0.796,1.000,3.000,47.179,179.807,305.831,162.887,44.563,151.713,17.687,9.420,160.000,174.000,527.750,719.060,223.383,519.864,2.260,2.528
3.909,13.319,1.545,0.793,1.000,3.000,45.770,168.495,0.000,0.000,42.030,141.027,0.000,0.000,135.300,163.220,481.950,635.280,183.057,204.509,2.053,2.164
4.056,15.164,1.528,0.815,1.000,3.000,46.375,161.096,0.000,0.000,41.120,130.943,0.000,0.000,160.000,163.220,459.550,611.340,172.063,198.481,1.993,2.176
4.283,16.203,1.377,0.575,1.000,2.000,43.334,146.781,0.000,0.000,38.530,122.590,0.000,0.000,123.550,163.000,457.050,564.680,161.120,181.307,1.860,1.970
4.471,16.602,1.412,0.595,1.000,2.000,43.990,224.636,0.000,0.000,38.130,129.373,0.000,0.000,123.550,163.220,470.400,611.340,167.503,255.456,1.843,2.031
5.085,18.120,1.298,0.464,1.000,2.000,43.138,221.121,0.000,0.000,35.873,119.123,0.000,0.000,123.550,163.000,403.850,611.340,154.997,250.834,1.710,1.956
5.149,22.552,1.234,0.264,1.000,2.000,42.990,217.805,0.000,0.000,34.443,112.033,0.000,0.000,123.550,163.000,367.800,607.080,146.477,247.438,1.633,1.941
5.213,19.785,1.196,0.244,1.000,2.000,41.501,216.934,0.000,0.000,33.463,110.787,0.000,0.000,123.000,160.060,356.400,607.080,144.250,245.677,1.590,1.886
5.413,21.199,1.133,0.160,1.000,1.600,38.577,214.035,0.000,0.000,32.530,111.013,0.000,0.000,123.000,134.520,356.300,566.640,143.543,239.663,1.540,1.733
