mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
8.867,75.116,1.172,0.143,1.000,1.000,2.000,86.292,107.189,1576.604,4105.414,18.567,38.610,258.223,377.900,989.050,4125.180,703.000,1330.460,693.300,5244.616,1.683,9.006
8.516,66.959,1.161,0.135,1.000,1.000,2.000,86.540,98.023,1576.204,4104.331,19.010,36.663,266.200,376.987,2587.600,4115.480,703.000,1312.000,698.860,5240.660,1.687,8.972
8.516,68.637,1.200,0.160,1.000,1.000,2.000,86.109,104.318,1609.747,4105.709,18.830,40.430,286.017,384.527,2624.650,4197.700,703.050,1330.460,729.803,5257.971,1.747,9.016
7.647,64.640,1.212,0.167,1.000,1.000,2.000,86.109,102.334,4059.492,8220.552,18.830,39.597,538.237,930.173,2969.450,4675.880,717.200,2235.540,1526.837,11927.115,3.040,19.682
9.536,81.677,1.222,0.173,1.000,1.000,2.000,73.075,94.810,4049.033,8220.731,15.750,35.140,504.747,917.293,2772.400,4200.580,703.050,2235.540,1472.930,11923.821,2.883,19.661
9.103,83.748,1.286,0.204,1.000,1.000,2.000,89.492,94.078,4055.849,8220.933,19.213,35.550,519.870,925.657,2969.450,4784.660,717.200,2262.460,1500.290,11927.708,2.977,19.684
10.720,114.682,1.333,0.222,1.000,1.000,2.000,89.190,90.717,4044.949,8220.918,18.633,33.900,492.453,915.827,2751.600,4199.920,703.050,2262.460,1460.813,11923.236,2.867,19.663
9.500,93.964,1.259,0.192,1.000,1.000,2.000,89.457,98.150,4053.589,8228.142,19.167,37.247,509.487,939.060,2772.400,4787.360,707.700,2286.360,1504.960,11939.969,3.020,19.778
9.138,85.705,1.250,0.188,1.000,1.000,2.000,100.951,390.227,4048.417,8228.146,21.063,56.670,503.293,939.080,2772.400,4199.920,707.700,2387.400,1520.107,11952.867,3.037,19.822
9.138,82.533,1.250,0.188,1.000,1.000,2.000,91.682,390.334,4048.050,8228.292,19.233,57.737,497.137,935.807,2790.850,4199.920,703.050,2387.400,1509.913,11952.085,3.033,19.821
9.536,82.249,1.222,0.173,1.000,1.000,2.000,91.666,393.038,3814.569,7162.821,19.320,60.370,392.020,616.080,905.000,4117.440,656.450,2231.620,1087.790,10826.263,2.370,17.961
10.308,90.598,1.280,0.202,1.000,1.000,2.000,92.115,394.055,3808.309,7162.795,19.720,62.753,378.060,611.707,258.050,4115.020,521.950,2231.620,1072.240,10823.493,2.353,17.958
11.250,123.021,1.250,0.188,1.000,1.000,2.000,92.109,390.716,3794.733,7162.245,19.367,57.580,358.243,604.167,214.500,3814.140,355.100,1415.640,1039.357,10816.143,2.257,17.929
12.455,128.884,1.238,0.181,1.000,1.000,2.000,92.052,391.983,648.858,470.485,19.053,58.653,106.023,58.520,134.000,3332.020,327.000,966.340,242.250,1266.075,0.963,3.669
11.870,126.461,1.227,0.176,1.000,1.000,2.000,92.553,392.828,648.858,470.485,20.090,62.317,106.023,58.520,151.450,3332.020,346.400,966.340,246.950,1265.859,1.010,3.686
12.545,127.066,1.143,0.122,1.000,1.000,2.000,77.810,707.090,1236.950,893.496,17.203,93.120,143.037,92.607,134.850,3324.180,323.150,966.340,345.967,2735.980,1.070,4.807
10.880,98.426,1.167,0.139,1.000,1.000,2.000,93.345,707.145,1262.085,901.807,20.533,94.227,164.520,103.050,174.000,3395.720,355.100,1267.680,382.330,2760.098,1.143,4.845
12.455,123.521,1.238,0.181,1.000,1.000,2.000,92.812,706.824,1236.987,990.205,19.287,90.873,157.143,118.000,175.250,3320.460,355.100,1408.380,385.303,2739.757,1.060,4.437
13.095,118.658,1.250,0.188,1.000,1.000,2.000,79.626,599.706,1226.350,982.599,16.593,70.707,147.277,110.537,160.700,3058.320,355.100,1267.680,345.113,2646.722,0.963,4.052
13.850,134.227,1.211,0.166,1.000,1.000,2.000,79.772,599.864,1210.245,980.566,16.327,69.970,134.870,106.327,151.450,2590.440,344.500,988.640,327.493,2638.423,0.920,4.032
15.556,176.469,1.176,0.145,1.000,1.000,2.000,60.752,597.655,1164.560,971.525,13.357,66.907,107.643,95.613,134.000,366.980,290.550,766.080,283.520,2598.275,0.800,3.823
14.579,132.560,1.278,0.534,1.000,1.000,2.000,77.255,597.253,1212.917,983.933,15.393,65.323,135.093,109.283,134.500,2590.440,301.100,1274.940,325.093,2636.067,0.873,3.945
14.579,126.981,1.278,0.534,1.000,1.000,2.000,77.230,597.349,1212.917,983.933,14.993,63.817,135.093,109.283,134.500,2590.440,301.100,1274.940,323.187,2636.260,0.853,3.944
14.526,136.776,1.263,0.510,1.000,1.000,2.000,77.367,596.579,1212.917,983.933,15.040,61.577,135.093,109.283,134.500,2590.440,290.550,1274.940,320.993,2636.249,0.847,3.937
14.579,125.717,1.278,0.534,1.000,1.000,2.000,76.501,596.491,1212.917,983.933,14.090,60.917,135.093,109.283,134.000,2590.440,301.100,1274.940,319.383,2636.312,0.817,3.919
15.444,123.025,1.294,0.561,1.000,1.000,2.000,75.683,85.547,637.821,704.903,13.427,26.487,93.867,84.990,134.000,2590.440,301.100,1274.940,218.770,1185.277,0.697,2.456
15.444,119.136,1.294,0.561,1.000,1.000,2.000,77.272,86.953,704.773,752.752,13.560,26.953,111.897,96.890,134.000,3058.860,308.300,1107.360,249.300,1306.059,0.780,2.832
15.500,128.139,1.235,0.533,1.000,1.000,1.400,77.569,81.912,690.527,489.986,13.873,25.293,102.240,58.707,134.000,3058.860,301.100,704.180,200.113,1143.107,0.690,2.567
16.471,116.367,1.250,0.562,1.000,1.000,1.500,77.030,70.843,690.527,489.986,13.160,23.150,102.240,58.707,134.000,3058.860,284.850,656.940,197.257,1142.488,0.660,2.528
16.471,100.837,1.250,0.562,1.000,1.000,1.500,76.810,68.406,690.527,489.986,13.293,22.970,102.240,58.707,134.000,3058.860,259.650,656.940,197.210,1142.221,0.667,2.518
17.562,123.121,1.267,0.596,1.000,1.000,1.600,76.774,66.091,690.527,489.986,12.893,21.063,102.240,58.707,134.000,3058.860,259.650,656.940,194.903,1142.370,0.643,2.513
14.737,132.510,1.111,0.099,1.000,1.000,1.300,78.648,66.123,694.105,491.668,13.473,21.303,110.420,59.327,134.000,3251.260,251.400,707.420,204.523,1172.515,0.667,2.538
15.611,136.238,1.118,0.104,1.000,1.000,1.400,78.342,63.914,694.105,491.668,13.027,20.590,110.420,59.327,82.700,3251.260,251.400,707.420,203.363,1172.501,0.653,2.531
