mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
11.250,126.771,1.304,0.386,1.000,1.000,2.000,278323.562,1334.627,0.000,0.000,16664.587,129.203,0.000,0.000,124.000,134.000,177.100,315.680,16793.790,279547.538,14.030,224.223
12.905,147.800,1.381,0.426,1.000,1.000,2.000,278323.578,1334.645,0.000,0.000,16664.320,128.627,0.000,0.000,120.200,134.000,122.850,315.680,16792.947,279547.588,14.017,224.224
14.421,171.191,1.444,0.469,1.000,1.000,2.300,278323.649,1334.143,0.000,0.000,16663.120,123.883,0.000,0.000,120.000,134.000,114.000,254.480,16787.003,279547.938,13.943,224.227
12.952,164.141,1.400,0.440,1.000,1.000,2.100,278323.606,1334.031,0.000,0.000,16663.847,124.343,0.000,0.000,120.200,134.000,114.250,254.480,16788.190,279547.867,13.960,224.226
13.700,153.310,1.368,0.443,1.000,1.000,2.200,278323.657,1334.069,0.000,0.000,16662.987,123.573,0.000,0.000,94.000,134.000,114.000,254.480,16786.560,279547.964,13.933,224.227
14.474,164.881,1.389,0.460,1.000,1.000,2.300,278323.665,1334.070,0.000,0.000,16662.853,123.137,0.000,0.000,95.300,134.000,114.000,230.480,16785.990,279547.998,13.920,224.228
14.211,172.061,1.667,1.556,1.000,1.000,3.000,279329.335,1385.666,464.070,141.162,18472.770,154.183,53.430,17.073,124.000,3845.780,188.150,1433.380,18697.457,280574.711,15.687,225.167
13.500,168.950,1.500,1.350,1.000,1.000,2.100,24921.749,387.199,464.070,141.162,1820.690,47.257,53.430,17.073,124.500,236.200,180.350,602.760,1938.450,25281.628,2.173,21.708
15.167,173.472,1.588,1.536,1.000,1.000,2.400,24921.863,387.119,534.559,192.426,1819.083,45.643,68.953,24.693,124.000,2814.760,188.150,643.260,1958.373,25283.256,2.183,21.733
16.176,199.204,1.471,1.426,1.000,1.000,2.000,24921.901,386.846,534.559,192.426,1818.550,43.917,68.953,24.693,124.000,2814.760,123.350,643.260,1956.113,25283.417,2.153,21.732
16.235,226.415,1.500,1.500,1.000,1.000,2.000,24921.897,386.366,534.559,192.426,1818.610,41.993,68.953,24.693,124.500,2814.760,114.250,643.260,1954.250,25283.549,2.137,21.733
17.375,218.859,1.467,1.582,1.000,1.000,2.000,24921.958,386.333,534.559,192.426,1817.750,41.220,68.953,24.693,124.500,2814.760,114.000,643.260,1952.617,25283.668,2.110,21.734
18.467,218.382,1.643,1.801,1.000,1.000,2.700,24921.939,386.411,534.559,192.426,1818.017,41.827,68.953,24.693,124.000,2814.760,114.250,643.260,1953.490,25283.604,2.123,21.733
19.857,239.122,1.692,1.905,1.000,1.000,2.800,24921.958,385.980,534.559,192.426,1817.750,41.000,68.953,24.693,124.000,2814.760,114.000,643.260,1952.397,25283.678,2.103,21.733
16.176,210.616,1.562,1.621,1.000,1.000,2.500,24921.821,386.764,534.559,192.426,1819.677,45.390,68.953,24.693,124.500,2814.760,177.250,643.260,1958.713,25283.222,2.183,21.730
16.235,206.533,1.500,1.625,1.000,1.000,2.500,24921.872,386.952,534.559,192.426,1818.950,45.467,68.953,24.693,124.000,2814.760,177.250,643.260,1958.063,25283.272,2.167,21.730
17.562,212.996,1.267,0.329,1.000,1.000,2.000,30.814,52.954,268.424,131.762,9.167,15.170,15.523,7.620,84.000,134.000,114.000,232.220,47.480,406.390,0.407,1.575
20.143,203.694,1.385,0.391,1.000,1.000,2.000,27.340,48.889,268.424,131.762,8.287,13.793,15.523,7.620,80.200,124.200,114.000,182.620,45.223,405.083,0.370,1.481
18.667,169.289,1.333,0.356,1.000,1.000,2.000,29.373,50.846,0.000,0.000,9.547,15.567,0.000,0.000,84.000,124.200,114.000,182.020,25.113,74.381,0.350,1.023
16.412,139.536,1.312,0.340,1.000,1.000,2.000,29.104,58.262,0.000,0.000,9.353,17.073,0.000,0.000,80.200,124.000,114.300,185.560,26.427,81.569,0.360,1.085
15.444,117.691,1.294,0.325,1.000,1.000,2.000,29.366,61.081,0.000,0.000,10.153,19.393,0.000,0.000,80.200,124.000,128.250,213.380,29.547,84.745,0.400,1.120
13.000,121.048,1.286,0.299,1.000,1.000,2.000,32.169,91.198,0.000,0.000,12.613,27.897,0.000,0.000,94.000,124.200,177.100,243.560,40.510,114.819,0.510,1.264
13.143,106.027,1.200,0.160,1.000,1.000,2.000,30.897,90.530,0.000,0.000,11.487,26.537,0.000,0.000,84.000,124.200,177.000,243.560,38.023,113.202,0.470,1.223
